raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
951,8,6,3,3,15.0,53,0 days 01:33:13.995000,5593995.0,47.0,3.0,0 days 00:01:40.101000,210.315,1
951,822,3,2,4,12.0,53,0 days 01:33:32.214000,5612214.0,37.0,6.0,0 days 00:01:41.159000,208.115,1
951,13,3,4,5,10.0,53,0 days 01:33:56.424000,5636424.0,52.0,2.0,0 days 00:01:39.743000,211.07,1
951,4,1,14,6,8.0,52,0 days 00:00:00,0.0,52.0,5.0,0 days 00:01:40.347000,209.799,11
951,825,4,17,7,6.0,52,0 days 00:00:00,0.0,50.0,9.0,0 days 00:01:41.832000,206.74,11
951,154,210,15,8,4.0,52,0 days 00:00:00,0.0,51.0,12.0,0 days 00:01:42.026000,206.347,11
951,815,10,6,9,2.0,52,0 days 00:00:00,0.0,47.0,10.0,0 days 00:01:41.897000,206.608,11
951,18,1,12,10,1.0,52,0 days 00:00:00,0.0,50.0,8.0,0 days 00:01:41.720000,206.968,11
951,817,9,5,11,0.0,52,0 days 00:00:00,0.0,46.0,7.0,0 days 00:01:41.179000,208.074,11
951,832,5,11,12,0.0,52,0 days 00:00:00,0.0,41.0,15.0,0 days 00:01:42.205000,205.986,11
951,835,4,18,13,0.0,52,0 days 00:00:00,0.0,37.0,19.0,0 days 00:01:42.660000,205.073,11
951,828,15,22,14,0.0,52,0 days 00:00:00,0.0,45.0,14.0,0 days 00:01:42.050000,206.298,11
951,826,9,8,15,0.0,52,0 days 00:00:00,0.0,44.0,17.0,0 days 00:01:42.344000,205.706,11
951,831,15,19,16,0.0,52,0 days 00:00:00,0.0,50.0,16.0,0 days 00:01:42.253000,205.889,11
951,821,210,16,17,0.0,52,0 days 00:00:00,0.0,52.0,18.0,0 days 00:01:42.378000,205.637,11
951,836,209,20,18,0.0,51,0 days 00:00:00,0.0,43.0,11.0,0 days 00:01:41.907000,206.588,12
951,830,5,9,19,0.0,33,0 days 00:00:00,0.0,32.0,13.0,0 days 00:01:42.029000,206.341,131
951,20,6,7,20,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
951,807,10,13,21,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
